window_id,strategy,train_range,test_range,trades,wins,losses,win_rate,profit_total_abs,profit_total_pct,max_drawdown_abs,max_drawdown_pct,profit_factor,avg_winner_usdt,avg_loser_usdt,rr_ratio,sharpe,calmar,avg_profit,duration_avg,result_zip,elapsed_s,status,run_at
WF1,TrendRider4h,20230101-20230930,20231007-20240207,5,4,1,0.8,169.78381871,0.16978381870999998,17.404,,10.755713415552393,46.7968,17.4035,2.6889,0.995234734032208,151.53060414850034,0.03215806780951033,"1 day, 2:24:00",/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-54.zip,1.3,success,2026-08-22T07:53:53.348179Z
WF1,NostalgiaForInfinity,20230101-20230930,20231007-20240207,1,1,0,1.0,22.96974109,0.02296974109,0,,0.0,22.9697,0.0,inf,-100.0,-100.0,0.022946799130890885,4:00:00,/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-54.zip,0.1,success,2026-08-22T07:53:54.643701Z
WF2,TrendRider4h,20230601-20240229,20240307-20240707,1,0,1,0.0,-34.39907389,-0.03439907389,34.399,,0.0,0.0,34.3991,0.0,-100.0,-15.659814077494119,-0.03436471244274517,16:00:00,/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-54.zip,0.1,success,2026-08-22T07:53:54.783188Z
WF2,NostalgiaForInfinity,20230601-20240229,20240307-20240707,1,1,0,1.0,15.83533159,0.015835331589999998,0,,0.0,15.8353,0.0,inf,-100.0,-100.0,0.015819515899009078,"1 day, 12:00:00",/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-54.zip,0.1,success,2026-08-22T07:53:54.877375Z
WF3,TrendRider4h,20231101-20240731,20240807-20241207,4,2,2,0.5,75.03131041,0.07503131041000001,33.243,,2.312491555979491,66.0992,28.5835,2.3125,0.23805484574361058,37.51442153517466,0.01942074814740376,"1 day, 6:00:00",/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.1,success,2026-08-22T07:53:54.979879Z
WF3,NostalgiaForInfinity,20231101-20240731,20240807-20241207,2,2,0,1.0,50.69025561,0.05069025561,0,,0.0,25.3451,0.0,inf,8.220478483052355,-100.0,0.025007625527008855,"1 day, 2:00:00",/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.1,success,2026-08-22T07:53:55.097850Z
WF4,TrendRider4h,20240401-20241231,20250107-20250507,2,2,0,1.0,62.663756500000005,0.0626637565,0,,0.0,31.3319,0.0,inf,0.9364104704224361,-100.0,0.030884397232897633,"2 days, 8:00:00",/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.2,success,2026-08-22T07:53:55.221134Z
WF4,NostalgiaForInfinity,20240401-20241231,20250107-20250507,1,1,0,1.0,13.64826807,0.01364826807,0,,0.0,13.6483,0.0,inf,-100.0,-100.0,0.01363464490154093,8:00:00,/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.1,success,2026-08-22T07:53:55.372421Z
WF5,TrendRider4h,20240901-20250531,20250607-20251007,3,2,1,0.6666666666666666,36.271390139999994,0.03627139013999999,20.892,,2.7361512243507957,28.5816,20.8918,1.3681,0.23961089373670888,28.74194810579628,0.012200135097974256,"2 days, 1:20:00",/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.1,success,2026-08-22T07:53:55.476565Z
WF5,NostalgiaForInfinity,20240901-20250531,20250607-20251007,3,3,0,1.0,49.75100511,0.04975100511,0,,0.0,16.5837,0.0,inf,0.7505179415115554,-100.0,0.016353834389115564,"1 day, 18:40:00",/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.1,success,2026-08-22T07:53:55.602145Z
BLIND,TrendRider4h,n/a,20260101-20260731,0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0:00,/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.1,success,2026-08-22T07:53:55.732823Z
BLIND,NostalgiaForInfinity,n/a,20260101-20260731,0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0:00,/Users/jie/code/freqtrade/user_data/backtest_results/backtest-result-2026-08-22_07-53-55.zip,0.1,success,2026-08-22T07:53:55.796768Z
